Year,GDP (current US$),"Age dependency ratio, old (% of working-age population)",GDP growth (annual %),GDP per capita (current US$),Unemployment %,Inflation %,"Personal remittances, received US$",GNI (current US$),Agricultural raw materials exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Fuel exports (% of merchandise exports),Manufactures exports (% of merchandise exports),Food exports (% of merchandise exports)
1977,22283185056,5.703896964,5.562970252,499.1024173,4.46999979,9.898751597,339000000,22142184583,9.547241159,14.91407476,1.360312818,15.97057589,49.70340114
1978,25762077666,5.864905232,5.19238453,561.378575,4,7.334525939,446000000,25626078440,7.554048031,16.32244111,0.605272626,15.88884016,51.05387428
1979,31218507870,6.062947757,5.595571076,662.0510301,3.5,17.53333333,556000000,30995506609,8.021662331,15.81467856,0.284907581,20.66907991,43.12652781
1980,36848242784,6.220116929,5.200711079,761.0199977,4.75,18.20051049,626000000,36409241040,8.976519832,18.03079595,0.241197519,21.61076711,37.85196571
1981,40499645207,6.279580406,3.422208738,815.2212441,5.360000134,13.08259852,800000000,39972641929,6.076907437,20.57232305,0.664264568,21.09548661,35.85898479
1982,42206011275,6.287623363,3.698406099,828.5676462,5.5,10.22172714,1049000000,41162011275,4.751674436,15.24818544,0.738855254,23.27048612,34.5904659
1983,37759237658,6.274915353,1.89695179,723.0843629,4.889999866,10.02935656,1124000000,36900236560,6.115467952,13.29325662,0.329788258,18.04413676,30.09750361
1984,35730202751,6.243152568,-7.039378201,667.6675722,7.03000021,50.33897564,718000000,34255202015,5.864982208,10.81618094,2.202151181,24.83301569,30.71354893
1985,34961565263,6.196037587,-6.858377209,637.8374132,6.070000172,23.10310718,806000000,33644562436,5.367359279,7.755470226,1.565238593,24.50152407,30.22558534
1986,33987178952,6.141823218,3.51068403,605.7258435,6.429999828,1.148137777,861000000,32666180179,4.910552043,10.67912921,0.750785019,26.77003061,26.89927444
1987,37791442731,6.089775107,4.361809673,658.2134903,9.100000381,4.069767442,1020000000,36570444301,4.801960479,10.01637665,1.300105259,30.81531479,26.80763523
1988,43152077818,6.03620059,6.696931105,734.4294092,8.340000153,13.86006917,1262000000,41940079249,4.859781505,7.19968179,1.690087592,33.31454897,24.1796218
1989,48513735779,5.97635969,6.183918203,806.8498184,8.420000076,12.24299065,1362000000,47026736947,,,,,
1990,50508286642,5.929804839,3.082672529,820.4871803,8.130000114,12.17735221,1465000000,49764286539,,,,,
1991,51784207132,5.916760389,-0.436390081,821.4532309,10.60000038,19.26145853,1850000000,51576206877,,,,,
1992,60422309295,5.929486793,0.417629066,936.1482704,9.869999886,8.651003579,2538000000,61008309029,1.60522925,7.212847312,2.626718271,69.83806915,18.69057374
1993,62036625222,5.948128656,2.181889986,938.7637347,9.289999962,6.716311041,2587000000,62960626929,1.494956629,5.793280769,2.422411946,41.14736592,17.25073557
1994,73159245526,5.95830841,4.373665918,1081.432956,9.479999542,10.38647343,3452000000,75009243254,1.43926561,4.396880338,2.011374399,41.04340066,15.40797781
1995,84644220101,5.972693842,4.625225117,1222.290947,9.529999733,6.83199611,5360000000,86974214782,1.214135924,4.043125674,1.61973914,43.17668387,14.11048395
1996,94648084429,6.024489171,5.860347872,1334.105656,8.56000042,7.476103778,4875000000,97930032030,1.269075507,4.339488655,1.529768642,41.07771366,13.03698486
1997,94106183450,6.116208125,5.186411674,1294.110128,8.779999733,5.590259397,6799000000,98787176850,1.184546357,3.145546665,1.858333838,82.79458589,9.970739913
1998,74492325248,6.227165737,-0.5140906,1000.005467,10.25,9.234934323,5130000000,84891176639,0.96100533,2.728552953,1.384715429,85.63348031,8.280228304
1999,85640133800,6.348321834,3.346451184,1123.163083,9.81000042,5.939049018,6693000000,97095990780,0.563113214,1.552440698,0.532909444,89.72178038,6.898526783
2000,83669693589,6.446701438,4.382504833,1073.263222,11.18999958,3.977125032,6924000000,91557963718,0.521774577,1.691633219,0.728936759,92.01036747,4.553253915
2001,78921234458,6.512298771,3.04923151,991.1479821,3.700000048,5.345501956,8760000000,86478481180,0.555633518,1.619544095,1.326981741,91.33012016,4.765380638
2002,84307291974,6.575653188,3.716255002,1037.174125,,2.722772277,9735000000,92344832930,0.5189717,1.872039771,0.844877174,90.95867424,5.572635155
2003,87039145965,6.638500918,5.086911135,1049.387134,3.529999971,2.289156627,10239000000,95230466641,0.484723023,1.449232053,1.184552256,91.43381706,5.195350464
2004,95002028505,6.685337752,6.569228512,1122.855862,3.549999952,4.829210836,11468000000,1.04E+11,0.559213152,1.724823017,1.558853867,89.78267473,5.99570323
2005,1.07E+11,6.716762496,4.942505119,1245.286403,3.799999952,6.516853933,13732557722,1.18E+11,0.582414428,2.393561795,1.262221169,89.72425587,5.852098651
2006,1.28E+11,6.743760992,5.316416821,1452.220641,4.050000191,5.485232068,15496088457,1.39E+11,0.544450223,2.270968761,1.877586181,89.09155207,6.069977388
2007,1.56E+11,6.780568029,6.51929155,1741.603172,3.430000067,2.9,16437434092,1.70E+11,0.508512616,4.442049046,2.304980089,86.14917083,5.460923888
2008,1.82E+11,6.834479623,4.344487305,1990.35559,3.720000029,8.260447036,18850672419,1.99E+11,0.505491741,5.424093671,2.804842572,84.91877519,5.908293298
2009,1.76E+11,6.903950294,1.448323063,1893.281164,3.859999895,4.219030521,19959507639,1.96E+11,0.634164117,5.189114886,3.27690783,82.63007622,7.437421008
2010,2.08E+11,6.978403332,7.33449996,2201.775071,3.609999895,3.789836348,21556633836,2.32E+11,0.600051882,3.912376552,1.908734242,85.35184253,7.657853056
2011,2.34E+11,7.040029147,3.858232828,2431.202037,3.589999914,4.718417047,23053626019,2.59E+11,0.702509365,3.911108589,2.053277489,56.30544707,7.315153129
2012,2.62E+11,7.102460191,6.896951711,2671.777205,3.5,3.026963911,24609679613,2.91E+11,1.046705469,5.593825375,2.92009932,57.90425938,10.22963845
2013,2.84E+11,7.189440812,6.750531301,2847.566937,3.5,2.582687661,26716840269,3.17E+11,0.840872508,5.04619608,2.428982949,81.82190042,8.920464613
2014,2.97E+11,7.296645542,6.347987483,2935.925556,3.599999905,3.597823439,28690797896,3.32E+11,0.987227611,6.114047727,3.766912716,78.10130221,10.42168439
2015,3.06E+11,7.393409564,6.348309717,2974.299531,3.069999933,0.674192537,29799395700,3.41E+11,1.035727614,6.588340242,2.972819975,78.7258017,10.20537682
2016,3.19E+11,7.490843967,7.14945675,3038.149734,2.700000048,1.253698801,31141973475,3.54E+11,0.948387367,5.061376731,1.320696086,84.16836031,7.731460713
2017,3.28E+11,7.618967292,6.930988326,3077.43564,2.549999952,2.853187726,32809770434,3.65E+11,0.83695681,4.00252117,1.3324938,84.26863527,8.357741575
2018,3.47E+11,7.777946838,6.341485572,3194.674521,2.339999914,5.309346616,33808967986,3.84E+11,0.898913855,5.584065613,1.508846659,80.83453899,9.312224376
2019,3.77E+11,7.968902768,6.118525662,3413.847924,2.24000001,2.392065344,35167471832,4.15E+11,1.12625301,5.115535897,1.475881529,81.14698806,9.060907311
2020,3.62E+11,8.180549041,-9.518294741,3224.422551,2.519999981,2.393162393,34882844550,3.89E+11,1.14756942,6.595741782,1.08970257,79.81220881,9.316113919
2021,3.94E+11,8.317318725,5.703155968,3460.530963,3.400000095,3.927180221,36685313168,4.08E+11,1.292994927,7.48747407,1.18141568,79.69683311,8.912959771
